station_id,Model,MAE,RMSE,MAPE,R2,Time_s
500101035,WeeklyAvg,1.983,2.954,84.673,0.857,0.000
500101035,RandomForest,3.488,4.545,219.818,0.661,0.077
500101035,LinearRegression,2.883,3.673,160.928,0.779,0.000
500101035,Prophet,5.325,6.013,336.504,0.407,0.193
500101035,ARIMA,7.578,10.670,108.625,-0.868,0.046
500101036,Naive,3.308,4.251,200.736,-0.003,0.000
500101036,WeeklyAvg,3.385,4.265,145.535,-0.010,0.000
500101036,RandomForest,3.367,4.459,208.627,-0.104,0.079
500101036,LinearRegression,3.910,4.673,210.570,-0.212,0.000
500101036,Prophet,3.954,5.485,146.363,-0.670,0.199
500101036,ARIMA,3.721,5.546,74.776,-0.708,0.038
500101037,Naive,3.866,4.153,415.556,-5.394,0.000
500101037,WeeklyAvg,3.380,4.104,365.908,-5.244,0.000
500101037,RandomForest,6.109,6.949,619.034,-16.901,0.071
500101037,LinearRegression,4.410,5.158,387.538,-8.864,0.000
500101037,Prophet,2.517,3.138,226.010,-2.651,0.193
500101037,ARIMA,1.601,2.285,62.138,-0.936,0.026
500101038,Naive,4.937,6.372,7001463.707,-0.012,0.000
500101038,WeeklyAvg,4.145,5.550,2842373.384,0.232,0.000
500101038,RandomForest,3.284,4.797,5109036.615,0.427,0.079
500101038,LinearRegression,2.650,3.888,2693474.621,0.623,0.000
500101038,Prophet,7.127,8.067,9892919.000,-0.622,0.174
500101038,ARIMA,4.630,7.746,550522.539,-0.495,0.023
500101039,Naive,7.735,8.645,6063781.862,-0.011,0.000
500101039,WeeklyAvg,3.366,4.941,2481652.660,0.670,0.000
500101039,RandomForest,4.642,5.680,3451908.556,0.564,0.079
500101039,LinearRegression,3.607,4.914,2487972.471,0.673,0.000
500101039,Prophet,4.890,5.623,3187327.958,0.572,0.177
500101039,ARIMA,6.975,8.474,2225403.212,0.029,0.115
500101040,Naive,5.854,6.900,3006313.754,-0.001,0.000
500101040,WeeklyAvg,2.928,3.503,179510.786,0.742,0.000
500101040,RandomForest,9.584,11.025,643074.927,-1.555,0.077
500101040,LinearRegression,5.980,6.486,2865132.886,0.116,0.002
500101040,Prophet,5.068,6.109,1154893.172,0.216,0.182
500101040,ARIMA,5.685,8.209,1084667.964,-0.416,0.023
500101041,Naive,8.652,9.529,1729.571,-0.007,0.000
500101041,WeeklyAvg,4.984,5.710,994.740,0.639,0.000
500101041,RandomForest,16.147,17.377,2385.584,-2.348,0.079
500101041,LinearRegression,14.430,17.073,2794.501,-2.232,0.000
500101041,Prophet,8.669,9.778,1214.499,-0.060,0.206
500101041,ARIMA,8.624,9.517,1707.453,-0.004,0.024
500101042,Naive,5.566,5.930,894.644,-0.026,0.000
500101042,WeeklyAvg,1.628,2.421,90.565,0.829,0.000
500101042,RandomForest,2.093,3.053,212.486,0.728,0.079
500101042,LinearRegression,1.972,2.846,73.308,0.764,0.000
500101042,Prophet,2.504,2.926,595.602,0.750,0.184
500101042,ARIMA,6.461,8.495,1850.536,-1.105,0.032
500101091,Naive,9.864,10.613,129.222,-0.322,0.000
500101091,WeeklyAvg,8.664,10.157,46.593,-0.211,0.000
500101091,RandomForest,6.927,8.551,78.723,0.142,0.079
500101091,LinearRegression,5.222,6.598,69.418,0.489,0.000
500101091,Prophet,5.050,5.586,77.477,0.634,0.182
500101091,ARIMA,7.932,9.256,171.756,-0.006,0.030
500101092,Naive,9.576,10.674,98.256,-0.864,0.002
500101092,WeeklyAvg,9.169,11.730,59.262,-1.251,0.000
500101092,RandomForest,5.302,6.018,78.604,0.407,0.079
500101092,LinearRegression,6.942,7.671,101.850,0.037,0.002
500101092,Prophet,6.509,7.096,100.802,0.176,0.169
500101092,ARIMA,6.690,9.850,200.309,-0.588,0.025
500101093,Naive,2.529,3.145,183.924,-0.123,0.000
500101093,WeeklyAvg,1.729,2.704,40.974,0.170,0.000
500101093,RandomForest,3.822,4.727,237.867,-1.536,0.085
500101093,LinearRegression,4.423,5.627,252.904,-2.593,0.000
500101093,Prophet,5.877,7.107,492.286,-4.732,0.188
500101093,ARIMA,2.149,3.373,78.116,-0.291,0.063
500101094,Naive,4.170,4.905,101.377,-0.011,0.000
500101094,WeeklyAvg,1.711,2.128,33.163,0.810,0.000
500101094,RandomForest,3.182,3.696,85.536,0.426,0.083
500101094,LinearRegression,3.157,4.203,100.065,0.257,0.000
500101094,Prophet,2.866,3.473,82.194,0.493,0.180
500101094,ARIMA,4.293,5.039,101.854,-0.067,0.116
500101095,Naive,10.113,11.396,490.590,-0.047,0.000
500101095,WeeklyAvg,5.387,8.109,84.669,0.470,0.000
500101095,RandomForest,5.878,8.093,166.593,0.472,0.079
500101095,LinearRegression,6.606,8.347,261.374,0.438,0.016
500101095,Prophet,7.005,9.756,99.138,0.233,0.172
500101095,ARIMA,10.275,13.076,610.645,-0.378,0.020
500101097,Naive,14.838,15.868,431.233,-0.047,0.000
500101097,WeeklyAvg,2.459,2.980,67.006,0.963,0.000
500101097,RandomForest,12.170,15.194,455.343,0.040,0.079
500101097,LinearRegression,6.764,7.701,186.020,0.753,0.000
500101097,Prophet,11.412,13.589,390.402,0.232,0.182
500101097,ARIMA,15.794,20.768,629.008,-0.793,0.018
500101098,Naive,5.610,5.876,117.778,-0.031,0.000
500101098,WeeklyAvg,3.140,4.263,30.331,0.457,0.001
500101098,RandomForest,3.906,4.681,63.440,0.346,0.064
500101098,LinearRegression,2.395,2.860,34.054,0.756,0.000
500101098,Prophet,6.449,6.824,140.034,-0.391,0.165
500101098,ARIMA,8.418,10.216,232.590,-2.117,0.032
500101099,Naive,10.299,12.842,349.577,-0.202,0.000
500101099,WeeklyAvg,7.301,7.956,179.598,0.539,0.000
500101099,RandomForest,10.957,13.205,365.108,-0.271,0.079
500101099,LinearRegression,7.900,9.126,224.184,0.393,0.000
500101099,Prophet,7.529,8.886,189.656,0.424,0.184
500101099,ARIMA,10.782,13.078,357.276,-0.246,0.081
500101100,Naive,11.481,14.472,560.543,-0.617,0.000
500101100,WeeklyAvg,6.403,7.091,245.703,0.612,0.000
500101100,RandomForest,7.320,8.861,325.275,0.394,0.079
500101100,LinearRegression,7.425,8.304,280.255,0.468,0.000
500101100,Prophet,6.167,7.585,116.513,0.556,0.165
500101100,ARIMA,11.598,14.645,567.288,-0.656,0.033
500101101,Naive,11.649,12.796,212.928,-0.135,0.000
500101101,WeeklyAvg,5.107,6.912,50.721,0.669,0.001
500101101,RandomForest,10.436,12.986,176.711,-0.169,0.093
500101101,LinearRegression,11.700,14.006,181.111,-0.360,0.002
500101101,Prophet,8.912,13.287,56.272,-0.224,0.178
500101101,ARIMA,11.232,12.454,198.192,-0.075,0.024
500101102,Naive,7.391,7.990,178.085,-0.000,0.000
500101102,WeeklyAvg,4.260,5.263,73.914,0.566,0.000
500101102,RandomForest,7.823,8.352,239.665,-0.093,0.095
500101102,LinearRegression,4.089,5.013,148.272,0.606,0.000
500101102,Prophet,8.057,9.287,276.870,-0.352,0.150
500101102,ARIMA,11.335,13.835,414.044,-2.000,0.032
500101103,Naive,5.710,6.277,157.866,-0.154,0.000
500101103,WeeklyAvg,3.263,3.861,66.256,0.563,0.002
500101103,RandomForest,5.530,7.341,142.805,-0.578,0.101
500101103,LinearRegression,5.829,6.891,141.533,-0.391,0.000
500101103,Prophet,15.480,18.267,280.084,-8.771,0.153
500101103,ARIMA,7.367,8.582,225.350,-1.157,0.039
500101104,Naive,2.979,3.814,338.288,-0.000,0.000
500101104,WeeklyAvg,3.358,4.091,143.762,-0.151,0.000
500101104,RandomForest,2.520,3.289,338.973,0.256,0.079
500101104,LinearRegression,4.920,5.797,402.154,-1.310,0.000
500101104,Prophet,4.777,5.778,111.697,-1.295,0.209
500101104,ARIMA,3.936,4.834,501.830,-0.606,0.034
500101105,Naive,7.908,9.756,94.860,-0.137,0.000
500101105,WeeklyAvg,6.921,9.545,61.442,-0.088,0.000
500101105,RandomForest,9.170,10.151,143.082,-0.231,0.079
500101105,LinearRegression,6.001,7.287,109.339,0.366,0.000
500101105,Prophet,34.011,38.078,330.600,-16.321,0.178
500101105,ARIMA,9.208,12.654,58.098,-0.913,0.037
500101107,Naive,8.414,9.087,153.765,-0.429,0.000
500101107,WeeklyAvg,8.386,10.381,185.674,-0.865,0.000
