YouBike Station ID,YouBike Station Name,Closest Weather Station,Distance (km)
500101203,YouBike2.0_臺北遠企購物中心,Da'an Forest Park,1.31436783824456
500101204,YouBike2.0_外交部外交及國際事務學院,Songshan,1.3025307394037
500101205,YouBike2.0_四維路170巷口,Da'an Forest Park,1.25625159144945
500101206,YouBike2.0_捷運大安站(3號出口),Da'an Forest Park,0.75152601241718
500101207,YouBike2.0_捷運臺電大樓站(2號出口)_1,Da'an Forest Park,1.26594548154444
500101208,YouBike2.0_信義路四段199巷,Xinyi,1.35575286859018
500101209,YouBike2.0_臺大資訊大樓,NTU,0.775651795128819
500101210,YouBike2.0_敦化南路二段81巷,Da'an Forest Park,1.27777173059541
500101211,YouBike2.0_原臺北刑務所官舍,Da'an Forest Park,1.17787094629713
500101212,YouBike2.0_捷運國父紀念館站(1號出口),Xinyi,0.935711535008975
500101213,YouBike2.0_懷生國中,Da'an Forest Park,1.27055882452821
500101214,YouBike2.0_仁愛敦南圓環(西北側),Songshan,1.18183853397889
500101215,YouBike2.0_立人國小,Da'an Forest Park,1.5321990361591
500101216,YouBike2.0_和平東路二段18巷口,Da'an Forest Park,0.761280065006232
500101217,YouBike2.0_捷運大安站(5號出口),Da'an Forest Park,0.84405083327143
500101218,YouBike2.0_臨江公園,Xinyi,1.36922151945344
500101219,YouBike2.0_羅斯福路四段113巷19弄口,NTU,0.447613583356998
500101221,YouBike2.0_忠孝東路四段248巷口,Songshan,0.891742589740069
500101222,YouBike2.0_仁愛延吉路口(西北側),Xinyi,1.00293345628178
500101223,YouBike2.0_樂利路101巷口,Da'an Forest Park,1.67881685464467
500101224,YouBike2.0_羅斯福浦城街口,Da'an Forest Park,1.26651616133018
500101225,YouBike2.0_敦化南路一段295巷口,Songshan,1.46525268365822
500101226,YouBike2.0_通安區民活動中心,Xinyi,1.50009393757007
500101227,YouBike2.0_復興忠孝東路口(東南側),Songshan,1.11381549310181
500101228,YouBike2.0_仁愛大安路口(東北側),Songshan,1.24358410359335
500101229,YouBike2.0_臺灣師範大學(浦城街),Da'an Forest Park,0.98734755410445
500101230,YouBike2.0_安和路二段69巷口,Xinyi,1.46037004141491
500101231,YouBike2.0_大安國小,NTU,1.32336012941449
500101232,YouBike2.0_捷運古亭站(3號出口),Da'an Forest Park,1.34921077114741
500101233,YouBike2.0_捷運忠孝復興站(3號出口),Songshan,1.01841630796915
500101234,YouBike2.0_和平東路二段90巷,Da'an Forest Park,0.637738134662108
500101235,YouBike2.0_光復南路420巷口,Xinyi,0.751600118407717
500101236,YouBike2.0_富陽臥龍街口,NTU,1.82955030914276
500101237,YouBike2.0_仁愛復興路口,Da'an Forest Park,1.23239594826269
500101238,YouBike2.0_仁愛敦南圓環(東側),Songshan,1.18206463967051
500101239,YouBike2.0_古風公園,Da'an Forest Park,1.11623586056253
500101240,YouBike2.0_和平東路二段76巷,Da'an Forest Park,0.816288408185187
500101241,YouBike2.0_敦化信義路口(東南側),Da'an Forest Park,1.33890639844492
500101242,YouBike2.0_和平東路三段308巷口,NTU,1.59427479314164
500101243,YouBike2.0_忠孝建國路口(東南側),Da'an Forest Park,1.34250476651928
500101244,YouBike2.0_浦城街26巷,Da'an Forest Park,1.2360030979492
500101245,YouBike2.0_青峰活動中心,NTU,1.19522308360449
500101246,YouBike2.0_忠孝東路三段216巷口,Songshan,1.30040288609223
500101247,YouBike2.0_捷運忠孝復興站(4號出口),Songshan,1.00160731142241
500101248,YouBike2.0_和平溫州街口,Da'an Forest Park,0.457994218611936
500101250,YouBike2.0_國立臺北教育大學創意館,Da'an Forest Park,1.05647602852807
500101251,YouBike2.0_捷運忠孝復興站(1號出口),Songshan,1.01305697237648
500103001,YouBike2.0_延平國宅,Science Education Center,2.00185035407475
500103002,YouBike2.0_臺北市立圖書館大同分館,Science Education Center,2.48409283427006
500103003,YouBike2.0_合昌宮,Science Education Center,2.24489215534368
500103004,YouBike2.0_民族延平路口,Science Education Center,3.12558722273712
500103005,YouBike2.0_重慶酒泉街口,Science Education Center,2.75930730078747
500103006,YouBike2.0_樹德公園,Taipei,3.19593489169547
500103007,YouBike2.0_陳天來故居,Taipei,2.11839282471057
500103008,YouBike2.0_臺北孔廟,Science Education Center,2.50176694136978
500103009,YouBike2.0_捷運圓山站(1號出口),Science Education Center,2.79770891502478
500103010,YouBike2.0_酒泉延平路口,Science Education Center,2.74204768357279
500103011,YouBike2.0_重慶國中,Science Education Center,2.30137672701944
500103012,YouBike2.0_重慶北路三段383巷口,Science Education Center,2.27025506560141
500103013,YouBike2.0_台北數位產業園區,Science Education Center,2.45032909246163
500103019,YouBike2.0_民權延平路口(西北側),Taipei,2.86269100186381
500103020,YouBike2.0_民權迪化街口,Taipei,2.88942740983585
500103021,YouBike2.0_大稻埕公園,Taipei,2.42410207223738
500103022,YouBike2.0_大龍老人住宅,Science Education Center,3.08341508074163
500103023,YouBike2.0_大龍峒社會住宅,Science Education Center,2.83646829821015
500103024,YouBike2.0_捷運大橋頭站(2號出口),Taipei,2.82839804868969
500103025,YouBike2.0_捷運大橋頭站(1A出口),Taipei,2.85362870592506
500103026,YouBike2.0_捷運民權西路站(2號出口),Taipei,2.71193651894173
500103027,YouBike2.0_捷運雙連站(2號出口),Taipei,2.35543810400105
500103028,YouBike2.0_捷運北門站(3號出口),Taipei,1.42965707198608
500103029,YouBike2.0_朝陽公園,Taipei,2.02646651973806
500103030,YouBike2.0_永樂市場,Taipei,1.92051756320622
500103031,YouBike2.0_大龍公園,Science Education Center,2.86581302840799
500103032,YouBike2.0_重慶涼州街口,Taipei,2.5390764392039
500103033,YouBike2.0_圓山線形公園,Science Education Center,3.08628319254815
500103034,YouBike2.0_圓環站,Taipei,1.77721992477242
500103035,YouBike2.0_重慶民族路口,Science Education Center,3.09640617515662
500103036,YouBike2.0_承德路三段8巷口,Taipei,2.94541500697368
500103037,YouBike2.0_太原廣場,Taipei,1.28420547481983
500103038,YouBike2.0_國順公園,Taipei,3.1597444208281
500103039,YouBike2.0_聯合醫院中興院區,Taipei,1.73063678712423
500103040,YouBike2.0_蔣渭水紀念公園,Taipei,2.49921753508801
500103041,YouBike2.0_迪化休閒運動公園,Science Education Center,2.428745276264
